airline_code,flight_number,departure_code,arrival_code,departure_time,arrival_time,period_start,period_end,remarks,is_active
JAL,551,HND,AKJ,07:35:00,09:20:00,2025-12-17,2026-03-28,12月1～25日・1月5日5分早発10分早着12月26日～1月4日5分早着,true
JAL,553,HND,AKJ,11:10:00,12:50:00,2025-12-17,2026-03-28,,true
JAL,555,HND,AKJ,14:00:00,15:35:00,2025-12-17,2026-03-28,12月1日～1月5日5分遅着,true
JAL,557,HND,AKJ,17:20:00,19:05:00,2025-12-17,2026-03-28,12月26日～1月4日5分早発,true
JAL,552,HND,AKJ,10:05:00,12:00:00,2025-12-17,2026-03-28,12月1～25日・1月5日15分早発,true
JAL,554,HND,AKJ,13:35:00,15:25:00,2025-12-17,2026-03-28,,true
JAL,556,HND,AKJ,16:20:00,18:15:00,2025-12-17,2026-03-28,,true
JAL,558,HND,AKJ,19:50:00,21:40:00,2025-12-17,2026-03-28,12月1～25日・1月5日5分早発(到着は同時刻)12月26日～1月4日10分早発5分早着,true
