departure,arrival,flight_number,departure_time,arrival_time,remarks,period
HND,CTS,JAL 521,15:30,17:05,,20260301_20260328
HND,CTS,JAL 523,16:55,18:35,,20260301_20260328
HND,CTS,JAL 525,17:35,19:15,,20260301_20260328
HND,CTS,JAL 527,18:30,20:05,,20260301_20260328
HND,CTS,JAL 529,19:45,21:20,,20260301_20260328
HND,CTS,JAL 599,20:30,22:10,,20260301_20260328
HND,CTS,JAL 531,20:40,22:15,,20260301_20260328
HND,FUK,JAL 305,07:05,09:00,12月1日～1月5日5分遅着,20251026_20260105
HND,FUK,JAL 307,08:00,10:00,12月1日～1月5日5分遅着,20251026_20260105
HND,FUK,JAL 309,09:05,11:05,12月1日～1月5日5分遅着,20251026_20260105
HND,FUK,JAL 311,09:10,11:10,12月1日～1月5日5分遅着,20251026_20260105
HND,FUK,JAL 313,10:00,12:00,12月1日～1月5日5分遅着,20251026_20260105
HND,FUK,JAL 315,11:00,13:00,12月1日～1月5日5分早発(到着は同時刻),20251026_20260105
HND,FUK,JAL 317,12:05,14:00,12月1日～1月5日5分早発(到着は同時刻),20251026_20260105
HND,FUK,JAL 319,13:00,15:00,,20251026_20260105
HND,FUK,JAL 321,13:45,15:40,12月1日～1月5日5分遅着,20251026_20260105
HND,FUK,JAL 323,15:10,17:05,12月1日～1月5日5分遅着,20251026_20260105
HND,FUK,JAL 325,15:55,17:55,12月1日～1月5日5分早発(到着は同時刻),20251026_20260105
HND,FUK,JAL 327,16:55,19:05,,20251026_20260105
HND,FUK,JAL 329,17:55,20:00,,20251026_20260105
HND,FUK,JAL 331,18:40,20:40,,20251026_20260105
HND,FUK,JAL 333,19:05,21:10,12月1日～1月5日5分遅着,20251026_20260105
HND,FUK,JAL 335,19:25,21:30,12月1日～1月5日5分早発(到着は同時刻),20251026_20260105
HND,FUK,JAL 305,07:05,09:05,,20260106_20260228
HND,FUK,JAL 307,08:00,10:05,,20260106_20260228
HND,FUK,JAL 309,09:05,11:10,,20260106_20260228
HND,FUK,JAL 311,09:10,11:15,,20260106_20260228
HND,FUK,JAL 313,10:00,12:05,,20260106_20260228
HND,FUK,JAL 315,10:55,13:00,,20260106_20260228
HND,FUK,JAL 317,12:00,14:00,,20260106_20260228
HND,FUK,JAL 319,13:00,15:00,,20260106_20260228
HND,FUK,JAL 321,13:45,15:45,,20260106_20260228
HND,FUK,JAL 323,15:10,17:10,,20260106_20260228
HND,FUK,JAL 325,15:50,17:55,,20260106_20260228
HND,FUK,JAL 327,16:55,19:05,,20260106_20260228
HND,FUK,JAL 329,17:55,20:00,,20260106_20260228
HND,FUK,JAL 331,18:40,20:40,,20260106_20260228
HND,FUK,JAL 333,18:55,21:05,,20260106_20260228
HND,FUK,JAL 335,19:20,21:30,,20260106_20260228
HND,FUK,JAL 305,07:05,09:00,,20260301_20260328
HND,FUK,JAL 307,08:00,10:00,,20260301_20260328
HND,FUK,JAL 309,09:05,11:05,,20260301_20260328
HND,FUK,JAL 311,09:10,11:10,,20260301_20260328
HND,FUK,JAL 313,10:00,12:00,,20260301_20260328
HND,FUK,JAL 315,11:00,13:00,,20260301_20260328
HND,FUK,JAL 317,12:05,14:00,,20260301_20260328
HND,FUK,JAL 319,13:00,15:00,,20260301_20260328
HND,FUK,JAL 321,13:45,15:40,,20260301_20260328
HND,FUK,JAL 323,15:10,17:10,,20260301_20260328
HND,FUK,JAL 325,15:55,17:55,,20260301_20260328
HND,FUK,JAL 327,16:55,19:05,,20260301_20260328
HND,FUK,JAL 329,17:55,20:00,,20260301_20260328
HND,FUK,JAL 331,18:40,20:40,,20260301_20260328
HND,FUK,JAL 333,19:05,21:10,,20260301_20260328
HND,FUK,JAL 335,19:25,21:30,,20260301_20260328
HND,ITM,JAL 103,07:30,08:40,,20251026_20260105
HND,ITM,JAL 107,08:35,09:45,,20251026_20260105
HND,ITM,JAL 111,09:30,10:40,12月1日～1月5日5分遅着,20251026_20260105
HND,ITM,JAL 113,10:35,11:45,10月26日10分早発,20251026_20260105
HND,ITM,JAL 115,11:35,12:45,12月1日～1月5日10分遅発,20251026_20260105
HND,ITM,JAL 117,12:30,13:40,1月5日5分遅発,20251026_20260105
HND,ITM,JAL 119,13:30,14:40,,20251026_20260105
